X,Y,item,pagerank,chosen
-80.11412,-32.432236,graph theory,0.0002886997759998745,1.0
-42.653564,-9.367265,information theory,0.00018457981997001206,1.0
-2.9782734,-13.760601,data mining,0.0001727460192460222,1.0
-62.219643,2.7894604,claude shannon,9.145942067928083e-05,1.0
-16.810465,7.690732,control theory,8.345428540605453e-05,1.0
52.825497,-21.83027,cognitive science,8.918986665044396e-05,1.0
13.949324,16.749018,chaos theory,0.0006501684155729331,1.0
22.299545,6.6957583,simulated reality,6.098681170817919e-05,1.0
38.266724,-29.859474,collective intelligence,0.00010565819864358853,1.0
57.979572,33.231552,visual perception,9.992447621021913e-05,0.0
-48.573067,-60.902157,propositional calculus,0.0007274694924840454,0.0
-59.2716,-26.74303,quantum logic gate,6.098681170817919e-05,1.0
20.281796,-62.506523,natural language processing,0.0005060017217475599,0.0
-19.627941,5.4756994,thermodynamic equilibrium,9.331625851589204e-05,0.0
15.781701,0.27136916,artificial neural network,0.00041891596086775863,0.0
38.150204,70.838005,remote sensing,0.00029390851400953454,1.0
47.476067,-18.0485,embodied cognition,9.823618941920352e-05,0.0
0.2629513,-55.674683,semantic web,0.00013864039347309228,1.0
-18.451204,-5.4183993,operations research,0.0002798140164713883,1.0
-24.085913,71.98513,graphics processing unit,0.00021301877135163845,0.0
47.27906,3.8164833,cognitive psychology,0.00021569456886539684,0.0
13.058503,1.1111183,neural network,6.78443620080671e-05,0.0
-80.19773,-17.4456,low-density parity-check code,0.0005625908078053184,1.0
-17.553009,-17.091705,analytics,0.00015167393931206724,1.0
21.439117,-62.457203,natural-language processing,0.0002715255303373122,1.0
31.566227,56.053604,wearable computer,0.0002827279866041836,1.0
-48.387287,-60.190254,truth-functional propositional logic,0.0004450740005967031,0.0
-33.626633,-44.809437,false dilemma,0.0002897678031837059,1.0
4.3518624,-1.0429705,artificial intelligence,6.67145166490917e-05,0.0
15.016133,29.18271,speech recognition,0.0005998964493294445,0.0
42.446945,-9.186708,philosophy of perception,0.0007409266271062077,1.0
-23.915426,73.14316,gpu,0.0008831230119575267,0.0
-4.9423604,86.86834,electromagnetic wave equation,0.00020059430750253,1.0
54.825287,-14.489817,turing test,0.00020368971776829327,0.0
-0.2681557,52.66387,fourier transform,8.717830387568163e-05,1.0
-30.705761,31.963692,system analysis,0.0006938903997215178,0.0
4.5139847,-25.439123,problem shaping,0.0004431105502897608,0.0
68.056915,-18.083216,empathy,0.00017741799248397779,1.0
-21.334677,-32.664547,induction (philosophy),0.0002441271167766392,0.0
6.541827,-25.336847,problem finding,0.00013724196112736497,0.0
15.345795,27.158985,speech recognition software in healthcare,0.00012188242230117458,0.0
-14.334295,63.64222,3d computer graphics,0.00014562548316062718,0.0
21.682428,-4.84587,cognitive architecture,0.00015459504976116317,0.0
5.345611,31.69909,internet of things,0.00031253097349094193,0.0
23.754644,-66.87735,computational linguistics,0.0003376580980918535,0.0
32.109474,24.935148,psychoacoustics,0.0005903752205611727,1.0
17.061117,-3.0716357,biologically inspired computing,4.2467908817432726e-05,0.0
54.80474,14.783522,perception,0.0001921697368748496,0.0
31.716644,-10.45219,artificial consciousness,0.0002108222217190864,0.0
40.27366,19.72458,senses,0.00019596707894081343,0.0
67.14563,-8.008054,self-awareness,0.00026912301285114443,1.0
-31.722795,5.245642,optimal control,7.420270147615492e-05,0.0
-15.572297,18.147915,principal components analysis,0.0004874602512992922,0.0
-0.31514698,14.845472,deep learning,0.000367726815212547,1.0
59.167706,-8.864518,animal consciousness,0.0011919584932935873,0.0
-35.290512,21.791985,space mapping,0.0006821165698085304,0.0
56.351772,19.520283,gestalt psychology,0.00011973313754561417,0.0
-39.513107,71.41935,opencl,6.651801466816533e-05,0.0
53.3424,-48.962757,digital preservation,0.0002379695880348283,1.0
-31.469854,-40.488964,fuzzy logic,9.174966326033346e-05,0.0
49.39433,27.318031,optical illusion,0.00026086204222074865,0.0
-66.3199,19.02499,finite element method,0.00011514378258393295,0.0
64.15971,-13.74256,theory of mind,0.0002859097191291046,0.0
30.147678,-11.377151,simulated consciousness,0.00024197607420420517,0.0
-19.374893,51.65865,computer-aided design,8.861238807888825e-05,0.0
48.518066,-16.84627,predictive coding,0.00019666892591735846,0.0
-41.21728,73.06752,gpgpu,4.170485048249372e-05,0.0
39.43874,1.4479338,brain–computer interface,0.000350642816381385,0.0
40.622593,34.645943,motion perception,0.0007675046536439216,0.0
-84.657074,28.015617,ieee 754,6.651801466816533e-05,0.0
54.160923,33.759003,visual system,0.00021382378597363823,0.0
-51.5645,60.19025,vision processing unit,0.0002557619005261022,0.0
41.480907,-44.434734,openness,0.00016425669321465746,0.0
-0.9513829,-4.952516,cluster analysis,0.0003091981671705674,0.0
17.35866,-82.06636,constructed language,0.00031741308950649445,1.0
33.546364,-8.022482,neural correlate,0.00010635061782313282,0.0
29.224041,74.69917,spatial dependence,0.0008936620234402578,1.0
60.612404,-37.92334,spiral of silence,4.233652867165292e-05,0.0
-26.206535,-12.911146,decision theory,9.953241761908785e-05,0.0
-12.559799,-3.9663796,system dynamics,0.00013698073400412235,0.0
80.91303,-17.471123,noogenesis,0.00022854264976577995,0.0
5.438709,15.83053,dynamical systems theory,0.000669728785218211,0.0
49.205055,26.282888,visual illusion,0.00017576083266873698,0.0
44.57446,-32.988583,collaborative software,8.90540572855568e-05,1.0
-44.4247,66.07852,stream processing,0.00021594573388887084,0.0
-58.34186,-46.334587,boolean algebra (structure),0.0006932092990676577,0.0
-27.601206,75.72942,unified video decoder,4.233652867165292e-05,0.0
-3.8354466,68.66688,correlation,4.233652867165292e-05,1.0
-39.959652,-60.875393,first-order logic,4.233652867165292e-05,0.0
-9.278871,52.1903,3d printing,4.233652867165292e-05,0.0
36.47698,-73.8423,speech repetition,0.0001278088991798083,0.0
32.31826,-88.81666,foreign language reading aid,0.0012983015862913377,0.0
29.828125,2.7012093,mathematical neuroscience,0.0004652619608360178,0.0
0.474132,-5.5344186,data clustering,0.0004723891746506655,0.0
